LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,EXTRACK_P_STUCK,EXTRACK_P_DIFFUSIVE,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Probability stuck,Probability diffusive,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,P stuck,P diffusive,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID2022,2022,0,41516.0,234.804382911583,270.9304222321253,0.0,7.0,7,114.95284885591487,1,,254.2874692874693,255.0,0.0,255.0,1.055649E7,13.460757641353558,,,0.9984069707637042,18.875963070813437,0.5372417089587079,0.6151660371057301,123.8633332636627,107.80184558848542,0.017017095328912032,1.14899084136731,41513.500000000044,894.418868394053,0.6521046686783379,0.9666891766020876,4.389815597428154
ID2014,2014,0,41648.0,234.79816475219954,270.56581205814217,0.0,8.0,8,115.15066553787283,1,,253.97760011524056,255.0,0.0,255.0,1.0578675E7,16.114369470569894,,,0.9987956010133763,15.751442415273893,0.15861875033566497,0.30369102343751725,124.16267615854616,107.54985864662203,-0.005432944222992401,1.154466195687984,41656.49999999992,869.8473683621937,0.6918413792518548,0.9686206575826611,4.261884394797251
ID2005,2005,0,42225.0,234.92278848734585,270.7256666508786,0.0,9.0,9,115.9351251950709,1,,254.34777975133215,255.0,0.0,255.0,1.0739835E7,12.880011684171269,,,0.9989874858978216,19.737478148830775,0.3863877207706884,0.14463694692382628,124.04114965553663,109.17810956038744,3.083323754922291,1.1361357158041676,42226.00000000005,853.6245418611684,0.7282089664487302,0.9660710608799113,4.154099751636554
ID2040,2040,0,42191.0,234.8796234851717,270.66308005877613,0.0,10.0,10,115.89118748912213,1,,254.2929257020974,255.0,0.0,255.0,1.072989E7,13.409259982047864,,,0.9986858148022553,18.951509790582698,0.3353137219117821,-0.06274299575274989,123.62599791945304,108.48538533545945,-0.05504206958346751,1.1395636152941306,42193.999999999985,852.6806019307361,0.7292690730821844,0.9682519648901379,4.151079336793464
ID2025,2025,0,42415.0,234.7221083023982,270.6631096183686,0.0,11.0,11,116.21141379426895,1,,254.32078540448802,255.0,0.0,255.0,1.0789305E7,13.143152635435198,,,0.9983942757129664,19.33451157865308,0.36766571033221823,-0.14412169931413876,124.42692546188967,108.17670551646624,-0.05390141521481374,1.1502192164924996,42427.50000000007,878.4805054474415,0.6908647740016449,0.9700153181371332,4.2648956272112475
ID2026,2026,0,42111.0,235.4236633063798,270.5895759864164,0.0,12.0,12,115.77508433275418,1,,254.3762467939584,255.0,0.0,255.0,1.0711275E7,12.59649823119428,,,0.9982082332489826,20.176095477608158,0.1920308463952936,0.6620902472084249,124.63651468924787,107.16099917237507,-0.004039472216126593,1.1630771983449162,42109.50000000002,880.288907137138,0.6828722905909848,0.9673451103811084,4.2897816467312495
ID2038,2038,0,42347.0,234.24248864539794,270.25350083831205,0.0,13.0,13,116.10111433670637,1,,254.21112291888062,255.0,0.0,255.0,1.076457E7,14.161428764039284,,,0.9984220656003305,17.93677774678605,0.27399634132190087,0.016247605481354843,124.37414848004836,108.23462364827571,-0.002541300376464006,1.1491160987838827,42346.99999999994,959.2678216726719,0.5782994244082641,0.9656800145945441,4.6615307347585055
ID2032,2032,0,42671.0,235.06845813463934,271.0177955609712,0.0,14.0,14,116.54919664223415,1,,253.93035408806506,255.0,0.0,255.0,1.083597E7,16.48095659723653,,,0.998651746846305,15.397107316854024,0.5703926421777673,0.38415327904671687,125.46845576856899,108.1714160959608,-0.008742809628034446,1.159903977380343,42674.49999999997,931.6990853078701,0.617770217307791,0.9631330685203568,4.510154802227012
ID2030,2030,0,43607.0,234.3856564267156,270.6473559529268,0.0,15.0,15,117.83326031022384,1,,254.1873767710578,255.0,0.0,255.0,1.1087145E7,14.372310273697229,,,0.9989119939561789,17.676282933435026,0.43873576648557217,0.20384406300236493,127.22702865907071,109.7779157565608,-0.05205057824182489,1.1589492092490112,43620.000000000065,874.9705521033285,0.7159927946718898,0.9674521763238163,4.189388209305923
ID2028,2028,0,43636.0,233.93069654819465,270.3730149636793,0.0,16.0,16,117.85892042257318,1,,254.1641452344932,255.0,0.0,255.0,1.1088165E7,14.575636582987222,,,0.9984837679567647,17.42437194346646,0.31277651154558067,0.011755346096718857,126.35861296210135,110.09792077050861,-0.05728141642699914,1.1476929998113863,43638.999999999985,895.1203053342326,0.6844186512781053,0.9724134857499384,4.284932786427735
